"ymd","ATM_16","ATM_44","ATM_51","ATM_57","ATM_62","ATM_91","ATM_99","ATM_148","ATM_153","ATM_200"
2009-02-02,22631.2785926972,9632.10194380811,11719.1784525211,19567.0053859458,14968.6389506334,38002.1728368519,2121.75350184135,767.635208451436,18848.7766049477,12004.6311951439
2009-02-03,6813.96319788896,5380.81426343165,5924.36536878428,9780.51821138264,4664.70710220412,14816.4938091099,2025.54631230978,1479.90767365742,9444.84353939787,8320.72926497293
2009-02-04,16904.1304445208,12677.7011914607,12817.2018678974,18659.4828690907,12852.1177954803,44257.6868103372,1520.48485143689,244.959597789222,28612.7816194174,11308.8483728726
2009-02-05,14869.7293427086,12107.7892939526,11707.5896631842,10376.1312871733,12350.1189465392,15873.2248713529,1601.88876053053,489.045984057744,26456.485767657,13859.7834156444
2009-02-06,14494.0051647774,11319.4241681523,14005.3689316248,21386.8508195527,15122.6404333286,51307.3196282008,2416.42145720536,953.912212029409,25753.3398148368,14607.6178668781
2009-02-07,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-02-08,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-02-09,22711.4538147647,12279.0917909615,12285.909016719,17580.7883087426,11870.374835191,33258.2579329206,2160.33083823846,2008.64546211459,17091.7406300795,9367.4197712107
2009-02-10,3422.94683605294,6432.18073702383,4079.59784109158,6687.58426885729,4309.03105460016,13150.2432220844,1630.5929923608,749.400056022268,8381.76095493734,9932.91831447641
2009-02-11,18514.0476297132,15104.9346003521,13969.9971900835,13366.870289864,13700.5767291161,34535.6397996106,2986.47203794773,185.213354425997,23798.3938899552,11355.4142191138
2009-02-12,18334.3897607287,13190.6835664101,12594.8286766092,16242.2350781477,13990.500965675,30997.1636924082,779.787358899768,727.299155778183,20081.5847493506,10783.1666314462
2009-02-13,19365.334715191,13711.814541856,12043.2363080899,13715.1281960238,12872.1739093173,38560.1045274702,3487.70163656641,189.063681663486,21783.6973971652,10162.6348516526
2009-02-14,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-02-15,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-02-16,18185.1980962253,8571.20521935378,10191.029966916,13454.6221824165,11450.8540559635,27984.0125726541,3918.35516833558,1253.80417380401,18281.9908066031,8717.91547147344
2009-02-17,3665.61844010147,5549.42964127191,3886.86093521324,4981.74856391488,5741.17797194353,20147.1129070211,1489.53823523616,1523.99002989402,8043.78672288341,8198.47796264091
2009-02-18,12834.6175597287,9254.43176218756,9725.82828962703,9738.63750976306,10713.7508151361,23674.6082018532,1030.00586710241,400.299830533606,16880.7509150461,5108.93855903891
2009-02-19,11418.5500936303,9374.77041584577,9685.27950967902,10670.6636950883,8623.81905121826,29869.5973060381,1166.65860672601,250.792812337305,19460.904731341,12163.8922126473
2009-02-20,12430.2891976071,9590.06769801794,12687.6904249108,16121.1489132235,9038.9616980893,26414.4235189323,2295.60038434509,378.127363326973,24652.7697372797,11360.4408010186
2009-02-21,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-02-22,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-02-23,17478.1984107207,9217.19678919478,8328.91525598003,14051.1022334651,10102.8856505768,31325.8209276439,2325.66227994039,1631.2248179593,15372.490375101,9781.75872104309
2009-02-24,4131.80336366838,3347.51117771094,3799.67043017303,7177.4955612802,3613.41683760481,16171.6187678525,812.475401037906,793.482412258872,8123.67154136889,7526.09579981482
2009-02-25,15505.0357478654,6764.34171123323,9895.21862268294,5828.20884676535,8966.73943148734,22847.4884422237,730.268710009117,722.92954469502,23561.3217669135,7663.40783855836
2009-02-26,15449.4196072023,9735.73517333159,11534.1071745256,11388.5864393812,10260.8257987098,30407.9193227567,2333.31721345202,87.7774843180566,23307.8277596294,13259.467945557
2009-02-27,17989.5240704108,16275.0899422528,17595.8990110554,23736.1639777612,12365.2006813807,36021.2768148334,2190.88878786619,1787.51117209114,28402.2981394398,15674.4137905323
2009-02-28,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
2009-03-01,12069.6296296296,12531.1111111111,12046.7741935484,19079.3548387097,19781.6129032258,27683.2258064516,2925.18518518519,2017.74193548387,14450.6451612903,10800.9677419355
